,prod_code,retailer_code,begin_date,end_date,prod_desc,prod_type,brand_code,brand_desc,unit_dimension,unit_number,vendor_code,vendor_name,tax_rate
2,100002,adl,2018/10/24,2018/10/25,华都喜庆塑料衣架5只装,普通商品,0,无品牌,把,36,,,16
9,100035,adl,2019/4/1,2019/10/13,QQ农场挂钩,,0,无品牌,袋,1,,,13
10,100036,adl,2018/7/17,2018/10/24,诚利2948B梳子,普通商品,0,无品牌,个,1,,,16
14,100056,adl,2018/10/27,2019/4/1,中国结方巾,,0,无品牌,条,10,,,16
17,100062,adl,2019/4/1,2019/10/13,雅柏天竹三角裤,,0,无品牌,盒,1,,,13
19,100071,adl,2019/4/1,2019/10/13,金贝利学步带,,0,无品牌,个,1,,,13
20,100081,adl,2018/6/1,2018/10/23,木制大拼图9954,,0,无品牌,个,1,,,16
21,100081,adl,2018/10/23,2018/10/24,木制大拼图9954,,0,无品牌,个,1,,,16
25,100100,adl,2018/6/1,2018/10/23,喷水鸭3002,,0,无品牌,个,1,,,16
26,100100,adl,2018/10/23,2018/10/24,喷水鸭3002,,0,无品牌,个,1,,,16
27,100117,adl,2018/10/27,2019/4/1,七匹狼圣麻休闲男袜,,0,无品牌,双,1,,,16
39,100003,adl,2018/10/24,2019/4/1,金宁雪尼尔亮丝垫,,0,无品牌,张,1,,,16
40,100003,adl,2019/10/13,3000/9/1,金宁雪尼尔亮丝垫,无种类,0,无品牌,张,1,,,13
41,100023,adl,2019/4/1,2019/10/13,双枪水果叉75支装,普通商品,0,无品牌,包,1,,,13
47,100038,adl,2019/4/1,2019/10/13,诚利陶瓷柄中号尖勺,,0,无品牌,把,1,,,13
48,100052,adl,2019/4/1,2019/10/13,莎奴亚鸿福全棉内裤,,0,无品牌,盒,1,,,13
49,100058,adl,2019/10/13,3000/9/1,防臭鞋垫,无种类,0,无品牌,双,1,,,13
52,100071,adl,2018/6/1,2018/10/27,金贝利学步带,,0,无品牌,个,1,,,16
61,100126,adl,2019/4/1,2019/10/13,奇洁士猪鬃刷8040,,0,无品牌,个,1,,,13
63,100131,adl,2019/4/1,2019/10/13,金棉格子袖套0085,,0,无品牌,付,1,,,13
64,100153,adl,2018/10/6,2019/4/1,超人电熨斗,,0,无品牌,个,1,,,16
65,100167,adl,2018/6/1,2018/8/14,红双喜排球,,0,无品牌,个,1,,,16
66,100167,adl,2018/10/23,2018/10/24,红双喜排球,,0,无品牌,个,1,,,16
69,100177,adl,2019/10/13,3000/9/1,画字板,无种类,0,无品牌,个,1,,,13
70,100180,adl,2019/4/1,2019/10/13,北京之旅游戏,,0,无品牌,个,1,,,13
71,100209,adl,2019/10/13,3000/9/1,森海运感旱冰鞋,无种类,0,无品牌,双,1,,,13
77,100022,adl,2019/10/13,3000/9/1,麦宝隆口杯,无种类,0,无品牌,个,1,,,13
78,100023,adl,2018/10/25,2019/4/1,双枪水果叉75支装,普通商品,0,无品牌,包,1,,,16
81,100038,adl,2018/10/25,2019/4/1,诚利陶瓷柄中号尖勺,,0,无品牌,把,1,,,16
82,100043,adl,2018/10/27,2019/4/1,红豆文胸,,0,无品牌,件,1,,,16
84,100058,adl,2018/6/1,2018/10/27,防臭鞋垫,,0,无品牌,双,1,,,16
86,100061,adl,2018/10/27,2019/4/1,雅柏三角裤,普通商品,0,无品牌,盒,20,,,16
88,100112,adl,2019/10/13,3000/9/1,沙袋,无种类,0,无品牌,个,1,,,13
89,100122,adl,2018/7/17,2018/7/18,安红橡胶吸通8079,,0,无品牌,个,1,,,16
95,100172,adl,2019/4/1,2019/10/13,富尔兴全新潮儿汤锅,普通商品,0,无品牌,个,1,,,13
96,100174,adl,2019/10/13,3000/9/1,杏玉红太狼煎锅,无种类,0,无品牌,个,1,,,13
98,100177,adl,2018/10/23,2019/4/1,画字板,,0,无品牌,个,1,,,16
99,100181,adl,2019/10/13,3000/9/1,香港之旅游戏,无种类,0,无品牌,个,1,,,13
100,100187,adl,2019/4/1,2019/10/13,上海之旅游戏,,0,无品牌,个,1,,,13
101,100209,adl,2018/6/1,2018/10/23,森海运感旱冰鞋,,0,无品牌,双,1,,,16
102,100209,adl,2018/10/23,2019/4/1,森海运感旱冰鞋,,0,无品牌,双,1,,,16
110,100003,adl,2019/4/1,2019/10/13,金宁雪尼尔亮丝垫,,0,无品牌,张,1,,,13
112,100022,adl,2018/10/25,2019/4/1,麦宝隆口杯,,0,无品牌,个,1,,,16
116,100034,adl,2019/10/13,3000/9/1,LOVE兔挂钩,无种类,0,无品牌,袋,1,,,13
117,100041,adl,2019/10/13,3000/9/1,超凡纸杯300ML,无种类,0,无品牌,包,1,,,13
119,100056,adl,2019/10/13,3000/9/1,中国结方巾,无种类,0,无品牌,条,10,,,13
120,100058,adl,2019/4/1,2019/10/13,防臭鞋垫,,0,无品牌,双,1,,,13
125,100117,adl,2019/10/13,3000/9/1,七匹狼圣麻休闲男袜,无种类,0,无品牌,双,1,,,13
126,100122,adl,2018/10/24,2018/10/25,安红橡胶吸通8079,,0,无品牌,个,1,,,16
128,100123,adl,2018/7/17,2018/7/18,奇洁士洗衣刷,,0,无品牌,个,1,,,16
132,100153,adl,2019/10/13,3000/9/1,超人电熨斗,无种类,0,无品牌,个,1,,,13
133,100166,adl,2019/10/13,3000/9/1,红双喜篮球,无种类,0,无品牌,个,1,,,13
135,100174,adl,2018/10/25,2019/4/1,杏玉红太狼煎锅,,0,无品牌,个,1,,,16
136,100177,adl,2019/4/1,2019/10/13,画字板,,0,无品牌,个,1,,,13
137,100184,adl,2019/10/13,3000/9/1,广东之旅游戏,无种类,0,无品牌,个,1,,,13
139,100187,adl,2018/10/23,2019/4/1,上海之旅游戏,,0,无品牌,个,1,,,16
143,100209,adl,2019/4/1,2019/10/13,森海运感旱冰鞋,,0,无品牌,双,1,,,13
151,100022,adl,2019/4/1,2019/10/13,麦宝隆口杯,,0,无品牌,个,1,,,13
157,100052,adl,2018/10/27,2019/4/1,莎奴亚鸿福全棉内裤,,0,无品牌,盒,1,,,16
160,100112,adl,2019/4/1,2019/10/13,沙袋,,0,无品牌,个,1,,,13
161,100117,adl,2018/6/1,2018/10/27,七匹狼圣麻休闲男袜,,0,无品牌,双,1,,,16
166,100129,adl,2018/10/24,2018/10/25,亲净8932指扣磨纱手套,,0,无品牌,付,1,,,16
168,100153,adl,2018/6/1,2018/10/6,超人电熨斗,,0,无品牌,个,1,,,16
169,100166,adl,2018/6/1,2018/10/23,红双喜篮球,,0,无品牌,个,1,,,16
170,100166,adl,2018/10/23,2019/4/1,红双喜篮球,,0,无品牌,个,1,,,16
171,100174,adl,2019/4/1,2019/10/13,杏玉红太狼煎锅,,0,无品牌,个,1,,,13
173,100181,adl,2019/4/1,2019/10/13,香港之旅游戏,,0,无品牌,个,1,,,13
175,100184,adl,2018/10/23,2019/4/1,广东之旅游戏,,0,无品牌,个,1,,,16
177,100197,adl,2018/10/23,2018/10/24,沙包,,0,无品牌,个,10,,,16
180,100216,adl,2018/11/10,2019/4/1,小婴孩挂图,进口商品,0,无品牌,个,1,,,16
182,100,adl,2018/10/21,2018/10/22,达能三层高钙梳打得苔蔬菜味100G,直营商品,11422,亿滋,袋,40,,,16
186,100002,adl,2018/7/17,2018/7/18,华都喜庆塑料衣架5只装,普通商品,0,无品牌,把,36,,,16
192,100034,adl,2019/4/1,2019/10/13,LOVE兔挂钩,,0,无品牌,袋,1,,,13
193,100036,adl,2018/10/24,2019/4/1,诚利2948B梳子,普通商品,0,无品牌,个,1,,,16
194,100036,adl,2019/10/13,3000/9/1,诚利2948B梳子,普通商品,0,无品牌,个,1,,,13
195,100041,adl,2019/4/1,2019/10/13,超凡纸杯300ML,,0,无品牌,包,1,,,13
196,100043,adl,2019/10/13,3000/9/1,红豆文胸,无种类,0,无品牌,件,1,,,13
197,100056,adl,2019/4/1,2019/10/13,中国结方巾,,0,无品牌,条,10,,,13
199,100061,adl,2019/10/13,3000/9/1,雅柏三角裤,普通商品,0,无品牌,盒,20,,,13
200,100062,adl,2018/10/27,2019/4/1,雅柏天竹三角裤,,0,无品牌,盒,1,,,16
203,100071,adl,2018/10/27,2019/4/1,金贝利学步带,,0,无品牌,个,1,,,16
208,100112,adl,2018/6/1,2018/10/23,沙袋,,0,无品牌,个,1,,,16
209,100112,adl,2018/10/23,2019/4/1,沙袋,,0,无品牌,个,1,,,16
210,100117,adl,2019/4/1,2019/10/13,七匹狼圣麻休闲男袜,,0,无品牌,双,1,,,13
213,100128,adl,2018/10/24,2019/4/1,亲净8933双面磨纱手套,,0,无品牌,付,1,,,16
214,100128,adl,2019/10/13,3000/9/1,亲净8933双面磨纱手套,无种类,0,无品牌,付,1,,,13
227,100034,adl,2018/10/25,2019/4/1,LOVE兔挂钩,,0,无品牌,袋,1,,,16
228,100035,adl,2019/10/13,3000/9/1,QQ农场挂钩,无种类,0,无品牌,袋,1,,,13
230,100041,adl,2018/10/25,2019/4/1,超凡纸杯300ML,,0,无品牌,包,1,,,16
231,100043,adl,2018/6/1,2018/10/27,红豆文胸,,0,无品牌,件,1,,,16
232,100058,adl,2018/10/27,2019/4/1,防臭鞋垫,,0,无品牌,双,1,,,16
235,100062,adl,2019/10/13,3000/9/1,雅柏天竹三角裤,无种类,0,无品牌,盒,1,,,13
236,100071,adl,2019/10/13,3000/9/1,金贝利学步带,无种类,0,无品牌,个,1,,,13
239,100098,adl,2018/6/1,2018/10/23,音乐方向盘,普通商品,0,无品牌,个,1,,,16
240,100098,adl,2018/10/23,2018/10/24,音乐方向盘,普通商品,0,无品牌,个,1,,,16
246,100130,adl,2018/10/24,2018/10/25,蕾丝袖套0092,,0,无品牌,付,1,,,16
247,100131,adl,2018/7/17,2018/10/24,金棉格子袖套0085,,0,无品牌,付,1,,,16
249,100170,adl,2019/10/13,3000/9/1,新富尔兴全钢汤盆,无种类,0,无品牌,个,1,,,13
258,100023,adl,2019/10/13,3000/9/1,双枪水果叉75支装,普通商品,0,无品牌,叉,包,SQ1175,1,
263,100035,adl,2018/10/25,2019/4/1,QQ农场挂钩,,0,无品牌,袋,1,,,16
264,100036,adl,2019/4/1,2019/10/13,诚利2948B梳子,普通商品,0,无品牌,个,1,,,13
265,100038,adl,2019/10/13,3000/9/1,诚利陶瓷柄中号尖勺,无种类,0,无品牌,把,1,,,13
266,100043,adl,2019/4/1,2019/10/13,红豆文胸,,0,无品牌,件,1,,,13
267,100052,adl,2019/10/13,3000/9/1,莎奴亚鸿福全棉内裤,无种类,0,无品牌,盒,1,,,13
270,100061,adl,2019/4/1,2019/10/13,雅柏三角裤,普通商品,0,无品牌,盒,20,,,13
280,100126,adl,2018/10/24,2019/4/1,奇洁士猪鬃刷8040,,0,无品牌,个,1,,,16
281,100126,adl,2019/10/13,3000/9/1,奇洁士猪鬃刷8040,无种类,0,无品牌,个,1,,,13
282,100128,adl,2019/4/1,2019/10/13,亲净8933双面磨纱手套,,0,无品牌,付,1,,,13
283,100130,adl,2018/7/17,2018/7/18,蕾丝袖套0092,,0,无品牌,付,1,,,16
284,100131,adl,2018/10/24,2019/4/1,金棉格子袖套0085,,0,无品牌,付,1,,,16
285,100131,adl,2019/10/13,3000/9/1,金棉格子袖套0085,无种类,0,无品牌,付,1,,,13
287,100170,adl,2019/4/1,2019/10/13,新富尔兴全钢汤盆,,0,无品牌,个,1,,,13
288,100172,adl,2019/10/13,3000/9/1,富尔兴全新潮儿汤锅,普通商品,0,无品牌,个,1,,,13
290,100175,adl,2018/10/23,2018/10/24,画字板,,0,无品牌,个,1,,,16
293,100180,adl,2018/10/23,2019/4/1,北京之旅游戏,,0,无品牌,个,1,,,16
294,100187,adl,2019/10/13,3000/9/1,上海之旅游戏,无种类,0,无品牌,个,1,,,13
296,100218,adl,2018/6/1,2018/10/23,机器狗,普通商品,0,无品牌,个,1,,,16
297,100218,adl,2018/10/23,2019/4/1,机器狗,普通商品,0,无品牌,个,1,,,16
299,100221,adl,2018/10/23,2018/10/24,公牛H1220/1.8米插座,普通商品,0,无品牌,个,1,,,16
301,100223,adl,2018/10/25,2019/4/1,9#双耳锅4.9L,,0,无品牌,个,1,,,16
